disp_id,client_id,account_id,disp_type
1,1,1,1
2,2,2,1
3,3,2,0
4,4,3,1
5,5,3,0
6,6,4,1
7,7,5,1
8,8,6,1
9,9,7,1
10,10,8,1
11,11,8,0
12,12,9,1
13,13,10,1
14,14,11,1
15,15,12,1
16,16,12,0
17,17,13,1
18,18,13,0
19,19,14,1
20,20,15,1
21,21,16,1
22,22,17,1
23,23,17,0
24,24,18,1
25,25,19,1
26,26,20,1
27,27,21,1
28,28,22,1
29,29,23,1
30,30,24,1
31,31,25,1
32,32,26,1
33,33,27,1
36,36,29,1
37,37,29,0
38,38,30,1
39,39,31,1
40,40,32,1
41,41,33,1
42,42,34,1
43,43,35,1
44,44,36,1
45,45,37,1
46,46,38,1
47,47,39,1
48,48,40,1
49,49,41,1
50,50,42,1
51,51,43,1
52,52,44,1
53,53,45,1
55,55,47,1
56,56,48,1
57,57,48,0
58,58,49,1
59,59,50,1
60,60,51,1
61,61,52,1
62,62,53,1
63,63,54,1
64,64,55,1
65,65,56,1
66,66,57,1
67,67,58,1
68,68,59,1
70,70,61,1
71,71,61,0
72,72,62,1
73,73,63,1
74,74,63,0
75,75,64,1
76,76,65,1
77,77,66,1
78,78,67,1
79,79,68,1
80,80,69,1
81,81,70,1
82,82,70,0
83,83,71,1
84,84,71,0
85,85,72,1
86,86,72,0
87,87,73,1
89,89,75,1
90,90,76,1
91,91,77,1
92,92,78,1
93,93,79,1
94,94,80,1
95,95,80,0
96,96,81,1
97,97,82,1
98,98,83,1
99,99,83,0
100,100,84,1
101,101,85,1
102,102,86,1
103,103,86,0
105,105,88,1
106,106,89,1
107,107,90,1
108,108,91,1
110,110,93,1
112,112,95,1
113,113,95,0
114,114,96,1
115,115,96,0
116,116,97,1
117,117,97,0
118,118,98,1
119,119,98,0
120,120,99,1
121,121,100,1
122,122,101,1
123,123,102,1
124,124,103,1
125,125,104,1
126,126,104,0
127,127,105,1
128,128,106,1
129,129,107,1
130,130,108,1
131,131,109,1
132,132,110,1
134,134,112,1
135,135,112,0
136,136,113,1
137,137,114,1
138,138,115,1
139,139,116,1
140,140,116,0
141,141,117,1
142,142,118,1
143,143,119,1
144,144,120,1
145,145,121,1
146,146,122,1
147,147,123,1
148,148,123,0
149,149,124,1
150,150,125,1
151,151,126,1
152,152,127,1
153,153,128,1
154,154,129,1
155,155,129,0
156,156,130,1
157,157,131,1
158,158,132,1
159,159,132,0
160,160,133,1
161,161,134,1
162,162,135,1
163,163,136,1
164,164,137,1
165,165,138,1
166,166,138,0
167,167,139,1
168,168,140,1
169,169,141,1
170,170,141,0
171,171,142,1
172,172,142,0
173,173,143,1
174,174,144,1
175,175,145,1
176,176,146,1
178,178,148,1
179,179,149,1
180,180,150,1
181,181,151,1
182,182,151,0
183,183,152,1
184,184,152,0
185,185,153,1
186,186,154,1
187,187,155,1
188,188,156,1
189,189,157,1
190,190,158,1
191,191,158,0
192,192,159,1
193,193,160,1
194,194,161,1
195,195,162,1
196,196,162,0
197,197,163,1
198,198,164,1
199,199,165,1
200,200,165,0
201,201,166,1
202,202,167,1
203,203,168,1
204,204,168,0
205,205,169,1
206,206,170,1
207,207,171,1
208,208,172,1
209,209,172,0
210,210,173,1
211,211,173,0
212,212,174,1
215,215,176,1
216,216,177,1
217,217,178,1
218,218,179,1
219,219,180,1
221,221,181,1
222,222,182,1
223,223,183,1
224,224,184,1
225,225,185,1
226,226,186,1
227,227,187,1
228,228,188,1
229,229,189,1
230,230,190,1
231,231,191,1
232,232,192,1
233,233,193,1
234,234,193,0
235,235,194,1
236,236,195,1
237,237,195,0
238,238,196,1
239,239,197,1
240,240,198,1
241,241,199,1
242,242,200,1
243,243,201,1
246,246,204,1
247,247,205,1
248,248,206,1
249,249,206,0
250,250,207,1
251,251,208,1
252,252,209,1
253,253,210,1
254,254,211,1
255,255,212,1
256,256,213,1
257,257,214,1
258,258,214,0
259,259,215,1
260,260,215,0
261,261,216,1
262,262,217,1
263,263,218,1
264,264,219,1
265,265,220,1
266,266,221,1
267,267,222,1
268,268,223,1
269,269,224,1
270,270,225,1
271,271,225,0
272,272,226,1
273,273,227,1
274,274,228,1
275,275,229,1
276,276,230,1
277,277,230,0
278,278,231,1
279,279,231,0
280,280,232,1
282,282,234,1
283,283,234,0
284,284,235,1
285,285,236,1
286,286,236,0
287,287,237,1
288,288,238,1
289,289,239,1
290,290,240,1
291,291,240,0
292,292,241,1
293,293,242,1
294,294,243,1
295,295,244,1
296,296,245,1
297,297,246,1
298,298,246,0
300,300,248,1
301,301,249,1
302,302,250,1
303,303,251,1
304,304,252,1
305,305,253,1
308,308,255,1
309,309,256,1
310,310,257,1
311,311,258,1
312,312,259,1
313,313,260,1
314,314,260,0
315,315,261,1
316,316,262,1
317,317,263,1
318,318,264,1
319,319,265,1
320,320,265,0
321,321,266,1
322,322,267,1
323,323,267,0
324,324,268,1
325,325,269,1
326,326,270,1
327,327,270,0
328,328,271,1
329,329,272,1
330,330,273,1
331,331,274,1
332,332,275,1
333,333,276,1
334,334,277,1
335,335,278,1
336,336,279,1
337,337,279,0
338,338,280,1
339,339,281,1
340,340,281,0
341,341,282,1
342,342,282,0
343,343,283,1
344,344,284,1
345,345,285,1
346,346,285,0
347,347,286,1
348,348,286,0
349,349,287,1
350,350,288,1
351,351,289,1
352,352,290,1
353,353,291,1
354,354,292,1
355,355,292,0
356,356,293,1
357,357,293,0
358,358,294,1
359,359,295,1
360,360,296,1
361,361,297,1
362,362,298,1
363,363,298,0
364,364,299,1
365,365,300,1
366,366,300,0
367,367,301,1
368,368,301,0
369,369,302,1
370,370,303,1
371,371,304,1
372,372,305,1
373,373,306,1
374,374,307,1
375,375,308,1
376,376,309,1
378,378,311,1
379,379,311,0
380,380,312,1
381,381,313,1
382,382,313,0
383,383,314,1
384,384,314,0
385,385,315,1
386,386,316,1
387,387,317,1
388,388,318,1
389,389,319,1
390,390,320,1
391,391,321,1
392,392,322,1
393,393,322,0
394,394,323,1
395,395,323,0
396,396,324,1
397,397,325,1
398,398,326,1
399,399,327,1
400,400,328,1
401,401,328,0
402,402,329,1
403,403,330,1
404,404,330,0
405,405,331,1
406,406,332,1
407,407,333,1
408,408,334,1
409,409,335,1
410,410,336,1
411,411,337,1
412,412,337,0
413,413,338,1
414,414,339,1
415,415,339,0
416,416,340,1
417,417,340,0
418,418,341,1
419,419,342,1
420,420,343,1
421,421,344,1
422,422,345,1
423,423,346,1
424,424,347,1
425,425,348,1
426,426,349,1
427,427,349,0
428,428,350,1
429,429,351,1
430,430,352,1
431,431,353,1
432,432,354,1
433,433,355,1
434,434,356,1
435,435,357,1
436,436,358,1
437,437,359,1
438,438,360,1
439,439,361,1
440,440,362,1
441,441,363,1
442,442,364,1
443,443,364,0
444,444,365,1
445,445,366,1
446,446,366,0
447,447,367,1
448,448,368,1
450,450,370,1
451,451,371,1
452,452,372,1
453,453,373,1
454,454,374,1
455,455,375,1
456,456,376,1
457,457,377,1
458,458,378,1
459,459,379,1
461,461,381,1
462,462,382,1
463,463,383,1
464,464,384,1
465,465,385,1
466,466,386,1
467,467,386,0
468,468,387,1
469,469,388,1
470,470,389,1
471,471,390,1
472,472,391,1
473,473,392,1
474,474,393,1
476,476,395,1
477,477,395,0
478,478,396,1
479,479,397,1
480,480,397,0
481,481,398,1
482,482,398,0
483,483,399,1
484,484,400,1
485,485,401,1
486,486,402,1
487,487,403,1
488,488,403,0
489,489,404,1
490,490,405,1
491,491,406,1
492,492,407,1
493,493,408,1
494,494,409,1
495,495,410,1
496,496,411,1
497,497,412,1
498,498,412,0
499,499,413,1
500,500,414,1
501,501,415,1
502,502,416,1
503,503,417,1
504,504,418,1
505,505,419,1
506,506,420,1
507,507,421,1
508,508,422,1
509,509,423,1
510,510,424,1
511,511,425,1
512,512,426,1
513,513,427,1
514,514,427,0
515,515,428,1
516,516,428,0
517,517,429,1
518,518,430,1
519,519,431,1
520,520,432,1
521,521,433,1
522,522,434,1
523,523,435,1
524,524,436,1
525,525,436,0
526,526,437,1
527,527,437,0
528,528,438,1
529,529,439,1
530,530,440,1
531,531,441,1
532,532,441,0
533,533,442,1
534,534,443,1
535,535,444,1
536,536,445,1
537,537,446,1
538,538,447,1
540,540,449,1
541,541,449,0
542,542,450,1
543,543,451,1
544,544,452,1
545,545,453,1
546,546,454,1
547,547,455,1
548,548,456,1
550,550,458,1
551,551,459,1
552,552,460,1
553,553,460,0
554,554,461,1
555,555,461,0
556,556,462,1
557,557,463,1
558,558,464,1
559,559,465,1
560,560,466,1
561,561,467,1
562,562,468,1
563,563,469,1
564,564,469,0
565,565,470,1
566,566,471,1
567,567,471,0
568,568,472,1
569,569,473,1
570,570,474,1
571,571,475,1
572,572,475,0
573,573,476,1
574,574,477,1
575,575,478,1
576,576,478,0
577,577,479,1
578,578,480,1
579,579,481,1
581,581,483,1
582,582,484,1
583,583,485,1
584,584,486,1
585,585,487,1
586,586,487,0
587,587,488,1
588,588,489,1
589,589,490,1
590,590,491,1
591,591,492,1
592,592,493,1
593,593,494,1
596,596,496,1
597,597,497,1
598,598,498,1
599,599,498,0
601,601,500,1
602,602,500,0
603,603,501,1
604,604,502,1
605,605,503,1
606,606,504,1
607,607,505,1
608,608,506,1
609,609,507,1
610,610,508,1
611,611,509,1
612,612,509,0
613,613,510,1
614,614,511,1
615,615,512,1
616,616,513,1
617,617,514,1
618,618,515,1
619,619,516,1
620,620,516,0
621,621,517,1
622,622,518,1
623,623,519,1
624,624,519,0
625,625,520,1
626,626,521,1
627,627,522,1
628,628,522,0
629,629,523,1
630,630,524,1
631,631,525,1
632,632,526,1
633,633,526,0
635,635,528,1
636,636,528,0
637,637,529,1
638,638,530,1
639,639,531,1
640,640,532,1
641,641,533,1
642,642,533,0
643,643,534,1
644,644,535,1
645,645,536,1
646,646,537,1
647,647,537,0
648,648,538,1
649,649,539,1
651,651,540,1
652,652,541,1
653,653,542,1
654,654,543,1
655,655,544,1
656,656,545,1
657,657,546,1
658,658,546,0
659,659,547,1
660,660,548,1
661,661,548,0
662,662,549,1
663,663,550,1
664,664,551,1
665,665,552,1
666,666,553,1
667,667,554,1
668,668,555,1
669,669,556,1
670,670,557,1
671,671,558,1
672,672,559,1
673,673,560,1
674,674,561,1
675,675,562,1
676,676,563,1
677,677,564,1
678,678,565,1
679,679,566,1
680,680,566,0
681,681,567,1
682,682,568,1
683,683,569,1
684,684,570,1
685,685,571,1
686,686,572,1
687,687,572,0
688,688,573,1
689,689,574,1
690,690,575,1
691,691,575,0
692,692,576,1
693,693,576,0
694,694,577,1
695,695,578,1
696,696,578,0
697,697,579,1
698,698,580,1
699,699,581,1
700,700,582,1
702,702,584,1
703,703,585,1
704,704,586,1
705,705,587,1
706,706,588,1
707,707,589,1
708,708,590,1
709,709,591,1
710,710,592,1
711,711,593,1
712,712,594,1
713,713,595,1
714,714,596,1
715,715,597,1
716,716,598,1
717,717,599,1
718,718,599,0
719,719,600,1
720,720,601,1
721,721,602,1
722,722,603,1
723,723,604,1
724,724,605,1
725,725,606,1
726,726,607,1
727,727,608,1
728,728,608,0
729,729,609,1
730,730,609,0
731,731,610,1
732,732,610,0
733,733,611,1
734,734,611,0
735,735,612,1
736,736,612,0
737,737,613,1
738,738,614,1
739,739,615,1
740,740,616,1
741,741,617,1
742,742,618,1
743,743,619,1
744,744,620,1
745,745,621,1
746,746,621,0
747,747,622,1
748,748,623,1
749,749,623,0
750,750,624,1
751,751,625,1
752,752,626,1
753,753,626,0
754,754,627,1
755,755,628,1
756,756,629,1
757,757,630,1
758,758,631,1
759,759,632,1
760,760,633,1
762,762,635,1
763,763,636,1
764,764,637,1
765,765,638,1
766,766,639,1
767,767,639,0
768,768,640,1
769,769,641,1
772,772,643,1
773,773,644,1
774,774,645,1
775,775,646,1
776,776,647,1
777,777,647,0
778,778,648,1
779,779,649,1
780,780,650,1
781,781,651,1
782,782,652,1
783,783,653,1
784,784,653,0
785,785,654,1
786,786,655,1
787,787,656,1
788,788,657,1
789,789,658,1
790,790,659,1
791,791,660,1
793,793,662,1
794,794,662,0
796,796,664,1
797,797,665,1
798,798,666,1
799,799,666,0
803,803,669,1
804,804,669,0
806,806,671,1
807,807,672,1
808,808,673,1
809,809,674,1
810,810,675,1
811,811,675,0
812,812,676,1
813,813,677,1
814,814,678,1
815,815,679,1
816,816,680,1
818,818,682,1
819,819,683,1
820,820,683,0
821,821,684,1
822,822,685,1
823,823,686,1
824,824,687,1
825,825,688,1
826,826,689,1
827,827,690,1
828,828,690,0
829,829,691,1
830,830,692,1
831,831,693,1
832,832,694,1
833,833,695,1
834,834,696,1
835,835,697,1
836,836,697,0
837,837,698,1
838,838,698,0
839,839,699,1
840,840,700,1
841,841,701,1
842,842,702,1
843,843,703,1
844,844,704,1
845,845,704,0
846,846,705,1
847,847,706,1
849,849,708,1
850,850,709,1
851,851,710,1
852,852,710,0
853,853,711,1
854,854,712,1
