loan_id,account_id,loan_date,amount,duration,payments,status
5314,1787,0,96396,12,8033.00,1
5316,1801,6,165960,36,4610.00,0
6863,9188,23,127080,60,2118.00,0
5325,1843,29,105804,36,2939.00,0
7240,11013,63,274740,60,4579.00,0
6687,8261,70,87840,24,3660.00,0
7284,11265,72,52788,12,4399.00,0
6111,5428,81,174744,24,7281.00,1
7235,10973,100,154416,48,3217.00,0
5997,4894,122,117024,24,4876.00,0
7121,10364,128,21924,36,609.00,0
6077,5270,140,79608,24,3317.00,0
6228,6034,149,464520,60,7742.00,1
6356,6701,156,95400,36,2650.00,0
5523,2705,156,93888,36,2608.00,0
6456,7123,157,47016,12,3918.00,0
7104,10320,161,259740,60,4329.00,0
6820,9034,164,38148,12,3179.00,0
6876,9236,169,86616,12,7218.00,0
7097,10266,171,75624,24,3151.00,1
4959,2,184,80952,24,3373.00,0
6499,7401,184,80952,24,3373.00,0
5479,2486,189,24516,12,2043.00,0
5170,1071,199,253200,60,4220.00,2
6721,8475,200,21072,24,878.00,0
7259,11111,210,108144,36,3004.00,0
5285,1603,216,78936,12,6578.00,0
5189,1166,217,149040,48,3105.00,0
6650,8073,227,49320,12,4110.00,1
7226,10940,233,197748,36,5493.00,0
6087,5313,237,300660,60,5011.00,2
7262,11135,239,182628,36,5073.00,0
5519,2694,246,91632,12,7636.00,0
6577,7753,249,51696,24,2154.00,0
6509,7445,253,55368,24,2307.00,0
6520,7485,254,91200,24,3800.00,0
6699,8330,268,7656,24,319.00,0
6336,6555,269,212400,36,5900.00,0
7055,10079,275,167100,60,2785.00,2
6103,5385,276,149340,60,2489.00,2
6202,5891,287,65184,12,5432.00,0
7066,10131,301,215388,36,5983.00,1
6696,8321,308,89040,60,1484.00,2
6072,5256,309,193968,36,5388.00,0
5130,813,310,24312,12,2026.00,0
5568,2933,316,272520,60,4542.00,2
6678,8173,319,80340,12,6695.00,0
6998,9833,320,97632,12,8136.00,0
6580,7769,321,196080,48,4085.00,0
6316,6473,325,76908,12,6409.00,1
6512,7454,325,63312,48,1319.00,0
6407,6930,325,25944,24,1081.00,0
5002,173,330,104808,12,8734.00,0
6647,8051,331,208320,48,4340.00,0
7137,10439,333,151560,24,6315.00,0
6903,9337,334,52128,24,2172.00,0
5918,4576,334,300204,36,8339.00,0
6642,8027,335,77640,12,6470.00,0
6210,5927,336,87216,48,1817.00,1
6279,6273,337,87360,24,3640.00,0
7249,11065,342,69360,48,1445.00,0
6736,8558,344,288360,60,4806.00,2
6112,5442,347,174744,24,7281.00,1
5319,1811,353,239460,60,3991.00,2
6596,7844,355,91584,24,3816.00,0
5837,4260,359,244560,60,4076.00,2
5657,3354,365,4980,12,415.00,0
5533,2762,365,111384,24,4641.00,0
6232,6051,368,276660,36,7685.00,1
6888,9265,371,39576,12,3298.00,0
6066,5228,371,173808,24,7242.00,0
5549,2824,376,50460,60,841.00,2
5060,426,379,252060,60,4201.00,3
6004,4937,383,143904,24,5996.00,0
5126,790,384,208128,48,4336.00,1
7220,10911,388,131292,36,3647.00,0
6668,8129,390,74736,36,2076.00,0
5395,2176,390,299088,36,8308.00,1
6836,9093,394,189300,60,3155.00,2
6064,5215,395,14628,12,1219.00,0
6919,9403,396,120888,36,3358.00,0
6841,9104,398,172080,48,3585.00,0
6038,5120,401,323472,48,6739.00,0
6729,8519,402,74688,12,6224.00,0
7198,10788,414,45768,12,3814.00,0
6686,8260,416,224604,36,6239.00,0
5836,4259,418,79632,24,3318.00,0
7061,10105,418,121896,24,5079.00,0
5595,3050,424,82896,12,6908.00,0
5723,3674,432,23628,12,1969.00,0
6120,5481,433,209184,48,4358.00,0
6895,9307,441,41904,12,3492.00,0
5882,4427,448,87816,12,7318.00,0
5754,3834,450,23052,12,1921.00,0
6594,7824,450,189696,24,7904.00,1
6738,8566,451,230220,36,6395.00,1
6624,7965,452,71460,12,5955.00,0
6216,5952,452,141240,24,5885.00,0
6229,6040,454,11736,24,489.00,0
5887,4448,455,192744,36,5354.00,0
6808,8982,464,227880,36,6330.00,0
6297,6363,477,17508,12,1459.00,0
5161,1012,480,98184,24,4091.00,0
5390,2167,482,170256,24,7094.00,0
6150,5622,485,83016,12,6918.00,0
6223,5991,486,61056,48,1272.00,0
5032,290,486,123696,48,2577.00,0
6253,6148,487,59760,24,2490.00,0
6460,7133,489,48672,36,1352.00,0
6645,8041,489,140400,36,3900.00,0
5176,1106,495,192552,24,8023.00,1
5269,1527,502,164052,36,4557.00,1
5351,1978,517,205200,36,5700.00,0
5861,4337,521,51408,24,2142.00,0
5450,2345,524,199680,60,3328.00,2
7142,10451,532,482940,60,8049.00,3
6306,6425,533,36684,12,3057.00,0
6272,6226,533,398640,60,6644.00,2
5044,344,534,100980,60,1683.00,2
5576,2962,534,31248,12,2604.00,0
7192,10738,534,115992,36,3222.00,0
5739,3747,546,76380,12,6365.00,0
6526,7523,547,288468,36,8013.00,0
5624,3166,547,177744,48,3703.00,3
6244,6118,552,270648,36,7518.00,1
5131,816,552,48624,24,2026.00,0
6960,9640,555,76416,24,3184.00,0
6358,6715,558,137880,60,2298.00,3
5418,2245,560,347952,48,7249.00,2
6598,7857,562,68112,12,5676.00,0
5464,2419,574,95808,12,7984.00,0
6591,7819,577,20832,48,434.00,2
5724,3678,580,316140,60,5269.00,3
6315,6472,581,43164,12,3597.00,0
