order_id,product_id,add_to_cart_order,reordered
2191,42265,1,1
2191,39097,2,1
2191,37687,3,1
2191,18465,4,1
2191,34262,5,1
2191,40486,6,0
2191,34423,7,0
2191,30776,8,0
2530,4957,1,1
2530,33754,2,1
3068,5258,1,1
3068,16797,2,1
3300,18432,1,1
3300,23630,2,0
3300,4366,3,0
3300,48189,4,1
3300,41289,5,0
3300,29642,6,0
3405,34197,1,1
3405,12935,2,0
3405,11790,3,0
3405,48220,4,1
3405,15984,5,1
3405,25579,6,0
3405,8414,7,1
3405,37067,8,1
3405,46906,9,0
3405,27729,10,0
3752,13535,1,1
3752,38768,2,1
3752,44683,3,1
4201,19565,1,1
4201,4920,2,0
4201,21137,3,1
4201,20940,4,1
4201,32079,5,1
4201,12341,6,1
4201,11759,7,1
4201,38928,8,0
4201,43352,9,1
4201,21288,10,1
4201,30450,11,0
4201,32689,12,1
4201,5258,13,1
4201,13176,14,1
4201,7751,15,1
4201,7987,16,0
4201,37919,17,1
4201,651,18,1
4431,24852,1,1
4431,24010,2,1
4431,41398,3,0
4431,17027,4,1
4431,45066,5,1
4431,35158,6,0
4431,5886,7,0
4431,48110,8,0
4431,42030,9,0
4505,24810,1,1
4505,19660,2,1
4505,19272,3,1
4505,29127,4,1
4505,33873,5,1
4505,17027,6,1
4505,21903,7,1
4505,30855,8,1
5116,47993,1,0
5116,38490,2,1
5116,14955,3,0
5116,13675,4,0
5116,47766,5,1
5116,45161,6,0
5116,44142,7,0
5116,35939,8,0
5433,37067,1,1
5433,8021,2,1
5433,38226,3,1
5433,44422,4,1
5433,5194,5,0
5433,32293,6,0
5433,33198,7,1
5433,29127,8,0
5437,31506,1,1
5437,34243,2,0
5734,11182,1,1
5734,27012,2,1
5734,21288,3,1
5734,46979,4,1
5734,24830,5,0
6369,21386,1,1
6443,43005,1,1
6443,24852,2,1
6443,33572,3,1
6443,33642,4,1
6443,34262,5,0
6443,38772,6,0
6936,33120,1,0
6936,46206,2,0
6936,19048,3,1
7200,7301,1,0
7200,16797,2,0
7200,33452,3,1
7200,9175,4,1
7200,18747,5,0
7200,14680,6,0
7200,24852,7,0
7200,18725,8,0
7200,21447,9,1
7200,12513,10,0
7200,27238,11,1
7200,20156,12,0
7200,37066,13,1
7200,29387,14,0
7200,2240,15,0
7200,9076,16,0
7200,44037,17,1
7200,8638,18,0
7200,43027,19,0
7200,48205,20,0
7200,31981,21,0
7200,44929,22,1
7200,30754,23,1
7916,24852,1,1
7916,1940,2,1
7916,12011,3,1
7916,39428,4,1
7916,9454,5,1
7916,2091,6,1
7916,33846,7,1
7916,1429,8,1
7916,30183,9,1
7916,41023,10,0
7916,14890,11,1
7916,38293,12,1
7916,45588,13,0
7916,23760,14,0
7916,27796,15,0
7916,33626,16,0
7916,48800,17,0
8564,38300,1,1
8595,26209,1,1
8595,9839,2,1
8595,11520,3,1
8595,40604,4,1
8595,36070,5,1
8595,13176,6,1
8595,3896,7,1
8595,23044,8,1
8595,27845,9,1
8595,21009,10,1
9017,31215,1,1
9017,34045,2,1
9017,36189,3,1
9017,42443,4,1
9017,4538,5,1
9017,29373,6,1
9017,42807,7,1
9017,33257,8,1
9017,2120,9,1
9017,46294,10,0
9017,9327,11,0
9017,6282,12,1
9017,30227,13,0
9017,47211,14,1
9017,18409,15,1
9017,46650,16,1
9839,20704,1,0
9839,37364,2,0
10642,19057,1,0
10642,19348,2,1
10642,39351,3,0
10642,22935,4,0
10642,27841,5,0
10642,44944,6,0
10642,43513,7,0
11282,34276,1,1
11282,5120,2,1
11282,36856,3,1
11282,21903,4,1
11282,18095,5,1
11282,1240,6,1
11282,42585,7,1
11282,4297,8,1
11282,21616,9,1
11282,26497,10,1
11282,41588,11,1
