aisle_id,aisle
1,106
2,120
3,42
4,74
5,81
6,91
7,94
8,5
9,100
10,76
11,29
12,52
13,105
14,126
15,97
16,51
17,6
18,14
19,89
20,90
21,93
22,67
23,103
24,50
25,116
26,28
27,9
28,109
29,68
30,78
31,110
32,96
33,77
34,60
35,104
36,17
37,71
38,59
39,113
40,38
41,23
42,63
43,16
44,44
45,18
46,84
47,130
48,13
49,95
50,64
51,107
52,56
53,33
54,99
55,114
56,35
57,66
58,55
59,21
60,129
61,31
62,132
63,65
64,43
65,108
66,1
67,49
68,15
69,118
70,36
71,111
72,30
73,45
74,37
75,79
76,73
77,117
78,32
79,61
80,34
81,20
82,2
83,53
84,83
85,48
86,41
87,86
88,124
89,112
90,27
91,119
92,4
93,12
94,125
95,22
96,80
97,7
98,75
99,19
100,85
101,0
102,3
103,72
104,122
105,39
106,70
107,25
108,92
109,115
110,101
111,102
112,11
113,58
114,26
115,131
116,62
117,88
118,47
119,57
120,133
121,24
122,82
123,98
124,123
125,128
126,46
127,10
128,127
129,54
130,69
131,40
132,8
133,87
134,121
