order_id,eval_set,order_number,order_dow,order_hour_of_day,days_since_prior_order
2539329,0,1,2,8,-10.0
550135,0,7,1,9,20.0
3194192,0,7,2,12,14.0
676467,0,10,3,16,17.0
3343014,0,1,6,11,-10.0
2402008,0,2,1,19,30.0
1611810,0,4,5,13,30.0
2618231,0,1,6,12,-10.0
3067644,0,8,4,8,27.0
876095,0,6,5,11,8.0
887727,0,9,2,13,7.0
2345592,0,19,5,11,3.0
912404,0,12,2,14,5.0
2553089,0,33,3,11,9.0
3106101,0,2,0,17,1.0
1110781,0,29,2,9,8.0
2922708,0,4,3,11,30.0
2877797,0,4,6,10,24.0
965677,0,3,3,8,1.0
1460681,0,8,3,15,1.0
3247231,0,15,1,14,5.0
1641287,0,28,3,10,2.0
3147283,0,32,5,10,10.0
1603399,0,38,2,16,1.0
682914,0,52,3,15,15.0
7099,0,63,3,10,1.0
760273,0,20,1,13,10.0
685887,0,9,6,13,9.0
3169631,0,3,1,22,7.0
2383661,0,1,4,15,-10.0
1951139,0,4,0,11,10.0
1626957,0,6,5,15,15.0
423623,0,18,4,17,18.0
1185674,0,21,0,9,3.0
2890966,0,22,3,12,3.0
1719560,0,29,3,21,3.0
859009,0,5,6,19,7.0
2570028,0,1,0,9,-10.0
2309440,0,2,1,10,8.0
1530871,0,2,4,19,24.0
2906490,2,6,4,22,16.0
2102570,0,16,1,8,13.0
3112215,0,29,3,11,1.0
1237400,0,43,6,9,4.0
2670599,0,58,3,10,5.0
373535,0,62,2,11,4.0
2740653,0,65,1,13,6.0
1268191,0,15,2,11,8.0
1630627,0,33,1,1,2.0
2058687,0,46,2,15,5.0
1578027,0,4,0,17,1.0
2395967,0,5,3,9,15.0
1275664,0,7,1,14,18.0
863243,0,12,6,13,6.0
3301134,0,29,1,18,11.0
2352518,0,30,5,12,4.0
1999119,0,7,0,15,1.0
225812,0,8,1,12,29.0
2143319,0,2,5,12,30.0
46584,0,17,1,19,11.0
2389339,0,18,4,14,10.0
3038639,2,24,5,13,17.0
389760,0,4,6,13,4.0
797450,0,11,4,16,6.0
2641583,0,15,0,13,6.0
431626,0,6,1,11,15.0
2246974,0,4,0,16,13.0
338550,0,4,1,10,8.0
2232529,0,7,1,11,11.0
2222448,0,16,1,8,13.0
147262,0,18,1,13,7.0
1122034,0,6,1,14,9.0
2013249,0,16,2,18,30.0
3300079,0,4,6,8,30.0
2928597,0,21,0,12,8.0
1053617,0,4,5,13,2.0
257099,0,27,2,12,6.0
2648890,0,47,3,11,5.0
1439105,0,49,1,12,3.0
2463192,0,59,5,9,2.0
693452,0,64,3,11,5.0
3264150,0,65,5,11,2.0
2894457,0,67,4,13,1.0
440272,0,71,3,9,1.0
1835285,0,8,2,14,5.0
2999662,0,3,1,15,30.0
1144929,0,2,2,9,30.0
2852868,0,6,5,9,0.0
259674,0,9,0,16,15.0
2552220,0,2,5,10,8.0
1035645,0,5,3,11,9.0
2331962,0,12,0,11,14.0
3131227,0,1,0,14,-10.0
3027046,0,4,4,7,11.0
2389272,0,8,3,13,5.0
139487,1,15,6,15,30.0
637147,0,11,5,10,26.0
1176583,0,12,3,15,12.0
3302990,1,6,5,19,30.0
2542484,0,5,2,21,10.0
580626,0,14,1,12,21.0
3268912,0,1,2,15,-10.0
1503688,0,5,0,17,30.0
3116901,0,5,0,7,26.0
2365544,0,7,0,19,5.0
1823310,0,1,1,9,-10.0
1446561,0,8,3,8,9.0
3337304,0,17,5,12,4.0
3367490,0,7,1,14,30.0
1275930,0,5,3,22,5.0
1521844,0,17,3,11,3.0
3242045,0,22,4,4,5.0
495419,0,7,0,13,30.0
3051829,0,6,1,9,21.0
2959300,0,11,0,20,7.0
1332290,0,5,2,11,16.0
1068230,0,22,3,22,2.0
903981,0,5,6,14,30.0
3220002,0,1,3,17,-10.0
1878887,0,36,0,10,9.0
1227180,0,44,0,11,23.0
714844,0,48,1,10,5.0
2364117,0,19,1,13,5.0
2772108,0,22,1,7,3.0
670136,0,24,0,15,1.0
1810051,0,38,0,13,3.0
1389018,0,1,6,20,-10.0
254017,0,25,5,7,6.0
2353983,0,33,6,15,5.0
1671477,0,36,0,12,7.0
3169439,0,2,1,7,3.0
2822984,0,18,5,19,6.0
1785347,0,22,4,16,14.0
2982817,0,24,4,17,5.0
2715648,0,36,3,11,6.0
1384267,0,39,4,17,6.0
759622,0,7,2,9,7.0
2906369,0,23,1,16,14.0
2772122,0,5,0,8,13.0
3222720,0,8,3,14,30.0
1253654,0,16,0,21,12.0
3125271,0,1,1,16,-10.0
772348,0,17,5,21,22.0
754438,0,4,3,18,7.0
575891,0,2,1,9,9.0
2604407,0,7,6,18,27.0
1920100,1,8,3,15,30.0
993136,0,6,3,11,16.0
2923608,0,1,5,16,-10.0
2077777,0,4,3,14,15.0
805297,0,17,0,9,2.0
2587424,1,4,4,18,30.0
2445600,0,20,3,10,13.0
3147245,0,8,4,8,1.0
1075956,0,6,1,13,8.0
1238752,0,7,0,12,4.0
793557,0,11,0,20,9.0
1374768,0,17,0,15,14.0
238653,0,1,2,9,-10.0
28047,0,3,0,13,9.0
739290,0,7,4,9,3.0
2254988,0,16,4,18,2.0
276171,0,19,5,11,3.0
882353,0,46,3,9,5.0
2767607,0,3,2,13,10.0
2240638,0,12,0,14,11.0
2321422,0,10,6,18,4.0
2236393,0,21,6,18,6.0
3409449,0,42,2,9,4.0
1281905,0,44,1,20,4.0
3332790,0,46,1,9,4.0
1337188,0,6,2,15,8.0
1076408,0,14,1,11,2.0
2781223,0,17,1,11,14.0
818998,0,16,2,7,3.0
773026,0,22,0,12,6.0
110472,0,29,5,9,2.0
2737399,0,61,6,11,2.0
2306299,0,99,3,18,3.0
1002193,0,3,0,18,7.0
819148,0,2,1,23,30.0
855167,0,9,0,0,21.0
2576723,0,15,6,12,7.0
732073,0,16,4,10,5.0
1933430,0,32,4,23,4.0
500378,0,34,2,14,12.0
2830437,0,63,2,6,5.0
410212,0,9,2,9,15.0
1129664,0,14,1,9,7.0
30057,0,28,1,9,7.0
2638100,0,5,2,10,30.0
870972,0,6,1,12,3.0
1114536,0,12,4,17,10.0
1419811,0,1,6,22,-10.0
2616718,0,16,5,16,11.0
3266727,0,1,1,0,-10.0
1319025,0,14,4,12,3.0
2278052,0,1,5,21,-10.0
1999311,0,19,0,12,6.0
1459527,0,42,6,21,14.0
1264640,0,8,3,2,17.0
223943,0,14,1,13,8.0
26797,0,17,0,17,7.0
2784203,0,31,6,8,3.0
893466,0,15,3,16,26.0
2564377,0,26,1,10,9.0
14197,0,7,1,14,2.0
1230903,0,14,0,13,7.0
3220277,0,15,1,15,8.0
3117061,0,23,0,14,4.0
1951775,0,39,3,12,18.0
2662692,0,58,1,15,2.0
3152603,0,4,6,16,5.0
2961658,0,3,3,18,25.0
1904186,0,10,3,6,30.0
2780415,0,2,6,15,14.0
2298194,2,5,6,11,30.0
1542071,0,3,2,16,5.0
