order_products__train_id,order_id,product_id,add_to_cart_order,reordered
0,2191,42265,1,1
1,2191,39097,2,1
2,2191,37687,3,1
3,2191,18465,4,1
4,2191,34262,5,1
5,2191,40486,6,0
6,2191,34423,7,0
7,2191,30776,8,0
8,2530,4957,1,1
9,2530,33754,2,1
10,3068,5258,1,1
11,3068,16797,2,1
12,3300,18432,1,1
13,3300,23630,2,0
14,3300,4366,3,0
15,3300,48189,4,1
16,3300,41289,5,0
17,3300,29642,6,0
18,3405,34197,1,1
19,3405,12935,2,0
20,3405,11790,3,0
21,3405,48220,4,1
22,3405,15984,5,1
23,3405,25579,6,0
24,3405,8414,7,1
25,3405,37067,8,1
26,3405,46906,9,0
27,3405,27729,10,0
28,3752,13535,1,1
29,3752,38768,2,1
30,3752,44683,3,1
31,4201,19565,1,1
32,4201,4920,2,0
33,4201,21137,3,1
34,4201,20940,4,1
35,4201,32079,5,1
36,4201,12341,6,1
37,4201,11759,7,1
38,4201,38928,8,0
39,4201,43352,9,1
40,4201,21288,10,1
41,4201,30450,11,0
42,4201,32689,12,1
43,4201,5258,13,1
44,4201,13176,14,1
45,4201,7751,15,1
46,4201,7987,16,0
47,4201,37919,17,1
48,4201,651,18,1
49,4431,24852,1,1
50,4431,24010,2,1
51,4431,41398,3,0
52,4431,17027,4,1
53,4431,45066,5,1
54,4431,35158,6,0
55,4431,5886,7,0
56,4431,48110,8,0
57,4431,42030,9,0
58,4505,24810,1,1
59,4505,19660,2,1
60,4505,19272,3,1
61,4505,29127,4,1
62,4505,33873,5,1
63,4505,17027,6,1
64,4505,21903,7,1
65,4505,30855,8,1
66,5116,47993,1,0
67,5116,38490,2,1
68,5116,14955,3,0
69,5116,13675,4,0
70,5116,47766,5,1
71,5116,45161,6,0
72,5116,44142,7,0
73,5116,35939,8,0
74,5433,37067,1,1
75,5433,8021,2,1
76,5433,38226,3,1
77,5433,44422,4,1
78,5433,5194,5,0
79,5433,32293,6,0
80,5433,33198,7,1
81,5433,29127,8,0
82,5437,31506,1,1
83,5437,34243,2,0
84,5734,11182,1,1
85,5734,27012,2,1
86,5734,21288,3,1
87,5734,46979,4,1
88,5734,24830,5,0
89,6369,21386,1,1
90,6443,43005,1,1
91,6443,24852,2,1
92,6443,33572,3,1
93,6443,33642,4,1
94,6443,34262,5,0
95,6443,38772,6,0
96,6936,33120,1,0
97,6936,46206,2,0
98,6936,19048,3,1
99,7200,7301,1,0
100,7200,16797,2,0
101,7200,33452,3,1
102,7200,9175,4,1
103,7200,18747,5,0
104,7200,14680,6,0
105,7200,24852,7,0
106,7200,18725,8,0
107,7200,21447,9,1
108,7200,12513,10,0
109,7200,27238,11,1
110,7200,20156,12,0
111,7200,37066,13,1
112,7200,29387,14,0
113,7200,2240,15,0
114,7200,9076,16,0
115,7200,44037,17,1
116,7200,8638,18,0
117,7200,43027,19,0
118,7200,48205,20,0
119,7200,31981,21,0
120,7200,44929,22,1
121,7200,30754,23,1
122,7916,24852,1,1
123,7916,1940,2,1
124,7916,12011,3,1
125,7916,39428,4,1
126,7916,9454,5,1
127,7916,2091,6,1
128,7916,33846,7,1
129,7916,1429,8,1
130,7916,30183,9,1
131,7916,41023,10,0
132,7916,14890,11,1
133,7916,38293,12,1
134,7916,45588,13,0
135,7916,23760,14,0
136,7916,27796,15,0
137,7916,33626,16,0
138,7916,48800,17,0
139,8564,38300,1,1
140,8595,26209,1,1
141,8595,9839,2,1
142,8595,11520,3,1
143,8595,40604,4,1
144,8595,36070,5,1
145,8595,13176,6,1
146,8595,3896,7,1
147,8595,23044,8,1
148,8595,27845,9,1
149,8595,21009,10,1
150,9017,31215,1,1
151,9017,34045,2,1
152,9017,36189,3,1
153,9017,42443,4,1
154,9017,4538,5,1
155,9017,29373,6,1
156,9017,42807,7,1
157,9017,33257,8,1
158,9017,2120,9,1
159,9017,46294,10,0
160,9017,9327,11,0
161,9017,6282,12,1
162,9017,30227,13,0
163,9017,47211,14,1
164,9017,18409,15,1
165,9017,46650,16,1
166,9839,20704,1,0
167,9839,37364,2,0
168,10642,19057,1,0
169,10642,19348,2,1
170,10642,39351,3,0
171,10642,22935,4,0
172,10642,27841,5,0
173,10642,44944,6,0
174,10642,43513,7,0
175,11282,34276,1,1
176,11282,5120,2,1
177,11282,36856,3,1
178,11282,21903,4,1
179,11282,18095,5,1
180,11282,1240,6,1
181,11282,42585,7,1
182,11282,4297,8,1
183,11282,21616,9,1
184,11282,26497,10,1
185,11282,41588,11,1
186,11282,41787,12,1
187,11282,42768,13,1
188,11282,15008,14,1
189,11282,820,15,1
190,11282,18027,16,1
191,11282,30814,17,1
192,11282,39519,18,1
193,11282,45007,19,1
194,11282,15937,20,1
195,11282,37458,21,1
196,11282,31805,22,1
197,11282,10570,23,1
198,11282,17775,24,1
199,11282,4605,25,1
200,11282,19048,26,1
201,11282,27142,27,1
202,11282,28842,28,1
203,11282,49683,29,1
204,11282,248,30,1
205,11282,28785,31,1
206,11282,32177,32,1
207,11282,34590,33,1
208,11282,28849,34,1
209,11282,8239,35,1
210,11282,29092,36,1
211,11282,4037,37,1
212,11395,4137,1,0
213,11395,36695,2,0
214,11395,10749,3,0
215,11395,25397,4,1
216,11395,40348,5,0
217,11395,36393,6,1
218,11395,40338,7,1
219,11395,22610,8,1
220,11395,13225,9,1
221,11395,8096,10,1
222,11395,34027,11,1
223,11395,39262,12,1
224,11806,18465,1,1
225,11806,28021,2,0
226,11978,8048,1,0
227,13073,28473,1,0
228,13073,40009,2,0
229,13073,30695,3,0
230,13073,24852,4,1
231,13073,22243,5,0
232,13073,9326,6,0
233,13073,32478,7,0
234,13073,18288,8,0
235,13468,4920,1,1
236,13468,16797,2,1
237,13555,49610,1,1
238,13555,28156,2,1
239,13555,17872,3,1
240,13555,42265,4,1
241,13555,31869,5,1
242,14142,21872,1,1
243,14142,24964,2,0
244,14142,14462,3,0
245,14142,1999,4,0
246,14142,4799,5,0
247,14142,43789,6,0
248,14142,3376,7,0
249,14142,35939,8,0
250,14142,15290,9,0
251,14142,3952,10,0
252,14142,40706,11,0
253,14142,47626,12,0
254,14142,8654,13,1
255,14142,24093,14,0
256,14142,38383,15,0
257,16143,24009,1,0
258,16143,30391,2,1
259,16143,33401,3,1
260,16143,11520,4,1
261,16143,39001,5,1
262,16143,10749,6,1
263,16143,43768,7,1
264,16143,42768,8,0
265,16143,27012,9,0
266,16143,8518,10,1
267,16143,32905,11,0
268,16143,8276,12,0
269,16243,28204,1,1
270,16243,47766,2,1
271,16243,11777,3,1
272,16243,45763,4,1
273,16243,12163,5,1
274,16243,39275,6,1
275,16243,21903,7,0
276,16243,47626,8,0
277,16243,12459,9,0
278,16247,9515,1,0
279,16247,47439,2,0
280,16247,46175,3,0
281,16824,13176,1,1
282,16824,21267,2,1
283,16824,44008,3,1
284,16824,22035,4,1
285,16824,1374,5,1
286,16824,27845,6,1
287,16824,11945,7,1
288,16824,43504,8,1
289,16824,35921,9,1
290,16824,9456,10,1
291,16824,21137,11,1
292,16824,6297,12,1
293,16824,162,13,1
294,16824,18441,14,1
295,16824,25197,15,1
296,16824,37718,16,1
297,16824,20899,17,1
298,16824,44750,18,1
299,16824,24830,19,0
300,16824,33731,20,1
301,16824,37754,21,1
302,16824,41806,22,1
303,16824,16145,23,1
304,16824,26940,24,1
305,16824,42617,25,1
306,18798,5098,1,0
307,18798,11201,2,1
308,18798,14134,3,0
309,18798,31471,4,0
310,18798,5460,5,1
311,18798,12149,6,0
312,18798,25691,7,1
313,19177,12341,1,1
314,19177,21137,2,1
315,19177,21288,3,0
316,19177,9434,4,0
317,19177,29223,5,0
318,19177,9213,6,0
319,19177,6758,7,0
320,19236,23803,1,1
321,19236,29487,2,1
322,19236,24852,3,1
323,19236,4605,4,1
324,19236,16349,5,1
325,19236,21938,6,1
326,19236,19003,7,1
327,19236,31717,8,1
328,19236,17389,9,1
329,19236,25764,10,1
330,19236,9626,11,1
331,19236,5450,12,1
332,19236,39844,13,0
333,19236,4920,14,0
334,19236,27020,15,1
335,19236,32689,16,0
336,19236,49683,17,0
337,19236,41480,18,0
338,19236,38755,19,0
339,19236,26604,20,0
340,19236,32338,21,0
341,19236,16903,22,0
342,19236,1181,23,0
343,19236,42625,24,0
344,19236,8424,25,0
345,19236,5618,26,0
346,19236,23532,27,0
347,19236,44570,28,1
348,19236,35395,29,0
349,19236,15100,30,0
350,19236,28836,31,1
351,19271,40706,1,1
352,19271,30233,2,1
353,19271,19895,3,1
354,19271,40210,4,1
355,19271,7461,5,1
356,19271,31506,6,1
357,19271,18761,7,1
358,19271,25146,8,0
359,19271,45014,9,0
360,19271,29662,10,0
361,19271,24852,11,0
362,19271,1158,12,1
363,19271,10243,13,0
364,19271,31066,14,0
365,19271,29473,15,0
366,19271,45646,16,0
367,19271,3376,17,0
368,19271,21614,18,0
369,19583,1890,1,1
370,19583,33198,2,1
371,19583,30489,3,1
372,19583,18523,4,1
373,19583,27548,5,1
374,19583,9725,6,1
375,19583,7175,7,1
376,19583,13519,8,1
377,19583,45066,9,0
378,19583,39928,10,0
379,19583,41674,11,1
380,19583,40268,12,0
381,19583,44233,13,0
382,19583,37687,14,1
383,19583,27086,15,1
384,20385,1447,1,1
385,20385,39108,2,1
386,20385,1940,3,1
387,20385,24186,4,1
388,20385,24852,5,1
389,20385,6348,6,0
390,20385,7781,7,0
391,20385,33095,8,0
392,20385,30071,9,0
393,20385,16185,10,0
394,20385,21511,11,0
395,20385,38400,12,0
396,20385,21295,13,0
397,20385,30669,14,0
398,20385,18987,15,0
399,20385,10177,16,0
400,20385,25854,17,0
401,20385,34358,18,0
402,20385,8006,19,1
403,20385,14727,20,0
404,20385,45066,21,0
405,22035,40063,1,1
406,22035,47144,2,1
407,22035,13176,3,1
408,22035,6655,4,1
409,22035,5618,5,1
410,22035,22935,6,1
411,22035,47154,7,1
412,22035,21903,8,1
413,22035,23889,9,1
414,22035,21137,10,1
415,22035,46060,11,1
416,22035,12896,12,1
417,22035,12341,13,0
418,22035,27104,14,0
419,22035,45007,15,0
420,22035,48745,16,0
421,22035,30391,17,0
422,22035,8424,18,0
423,22035,30820,19,0
424,22035,22677,20,0
425,22035,48750,21,0
426,22206,47337,1,1
427,22206,21131,2,1
428,22206,11323,3,1
429,22206,48568,4,1
430,22206,34024,5,1
431,22206,49683,6,1
432,22206,39077,7,1
433,22206,49060,8,0
434,22206,19051,9,1
435,22206,15945,10,1
436,22206,12339,11,1
437,22206,21369,12,1
438,22206,40009,13,1
439,22729,43610,1,1
440,22729,19660,2,1
441,22729,27325,3,1
442,22729,7708,4,0
443,22800,46347,1,0
444,22800,22882,2,0
445,22800,24852,3,0
446,22800,43027,4,0
447,22800,16797,5,0
448,22800,6932,6,0
449,22800,32912,7,0
450,22800,33910,8,0
451,22800,37817,9,0
452,22800,7916,10,0
453,22800,49683,11,0
454,22800,41220,12,0
455,22800,24680,13,1
456,22800,2588,14,0
457,22800,18864,15,0
458,22800,34861,16,0
459,22800,36389,17,0
460,22800,7542,18,0
461,22800,15895,19,1
462,22800,43704,20,0
463,24664,28900,1,0
464,24664,28911,2,0
465,24664,10673,3,0
466,24664,21497,4,1
467,24664,31683,5,0
468,24664,41863,6,1
469,24664,17616,7,1
470,24664,13944,8,1
471,24664,40910,9,1
472,24664,17341,10,1
473,24664,27801,11,1
474,24664,40592,12,1
475,24664,33452,13,1
476,24664,44234,14,1
477,24664,36884,15,0
478,24664,29520,16,1
479,24664,44167,17,0
480,25854,21137,1,1
481,25854,13176,2,1
482,25854,37646,3,1
483,25854,46906,4,1
484,25854,11782,5,1
485,25854,5212,6,1
486,26095,17794,1,0
487,26095,44359,2,1
488,26095,7746,3,0
489,26095,39275,4,1
490,26095,20608,5,0
491,26095,6135,6,0
492,26095,45007,7,1
493,26095,27845,8,1
494,26095,13176,9,0
495,26095,24413,10,1
496,26095,16797,11,0
497,26405,23909,1,1
498,26405,6195,2,1
499,26405,49198,3,1
500,26405,33651,4,1
501,26405,45064,5,1
502,26405,23915,6,1
503,26405,26384,7,1
504,26405,24852,8,0
505,26405,21582,9,1
506,26405,23410,10,1
507,26405,40648,11,0
508,26898,23543,1,1
509,26898,1463,2,1
510,26898,39475,3,1
511,26898,21137,4,1
512,26898,29307,5,1
513,26898,18609,6,0
514,26898,12845,7,0
515,28301,21903,1,1
516,28301,32923,2,1
517,28301,8571,3,1
518,28338,5258,1,1
519,28338,19660,2,1
520,28338,40939,3,0
521,28338,940,4,0
522,28621,27845,1,1
523,28621,13640,2,1
524,28621,21376,3,1
525,28621,22969,4,1
526,28621,1387,5,1
527,28621,46413,6,1
528,28621,38015,7,1
529,28621,34058,8,0
530,28621,32387,9,0
531,28621,7781,10,0
532,28621,46900,11,1
533,28621,34249,12,1
534,29039,3765,1,1
535,29039,35383,2,1
536,29879,20862,1,1
537,29879,32518,2,1
538,29879,6315,3,0
539,29879,4117,4,0
540,29879,41217,5,0
541,29879,12053,6,0
542,29879,10218,7,0
543,29879,7405,8,0
544,29964,38985,1,1
545,29964,33098,2,1
546,29964,27156,3,0
547,29964,15177,4,0
548,29964,20082,5,0
549,29964,31927,6,0
550,29964,38293,7,1
551,29964,28781,8,0
552,30449,7186,1,1
553,30449,4746,2,1
554,30449,48552,3,1
555,30449,33198,4,1
556,30449,26343,5,1
557,30449,3431,6,1
